run,epsilon,mean_p0,mean_p1,mean_p2,cov_p0,cov_p1,cov_p2
3,0.01,0.009346365527365778,4.680971388636001e-05,1.561623198895188e-07,0.018723616385014196,5.921015170224006e-06,5.831845307874972e-07
3,0.02,0.018429348836460253,0.00018490779589707087,1.234770426498748e-06,0.03674969361987389,2.4864445818483294e-05,4.545340659687608e-06
3,0.04,0.035846772289644085,0.0007217148879811368,9.654855571368358e-06,0.0708476367689221,0.00010910091679496012,3.455142433391153e-05
3,0.07,0.06024376307459404,0.002133129235471709,5.006199538057876e-05,0.11757315490452727,0.0003772156579412785,0.00017195139224986664
3,0.1,0.08276839034367695,0.00420738168293013,0.00014140691840022212,0.1596385669122507,0.0008506107447385485,0.0004668552835150091
3,0.16,0.12296747638507323,0.01009961686754339,0.0005457505926659323,0.232147607188315,0.002524617032024158,0.001671355922697864
3,0.25,0.17339491360730105,0.02257652337937951,0.001919906243955545,0.3184565698122581,0.007069996688439639,0.005298928797134583
3,0.36,0.22282542900776692,0.04250990977103851,0.005250451209146449,0.3980358447464503,0.0160632028367262,0.012913702361984303
4,0.001,0.0009588469513943368,4.795033796223147e-07,1.5984776175382118e-10,0.0019239850372225974,4.4769835230808604e-08,6.096686354890415e-10
4,0.002,0.0019149021926838626,1.9155404933891802e-06,1.2772397874907002e-09,0.003840520119645609,1.8042728515134513e-07,4.8643022741383315e-09
4,0.004,0.003818684263510968,7.642460104704198e-06,1.019334253250961e-08,0.007651398384701233,7.325972960130634e-07,3.8706962881803145e-08
4,0.007,0.006653709835124576,2.3315153715918893e-05,5.443374503487534e-08,0.013312821444481997,2.2942944509310605e-06,2.0579444167594278e-07
4,0.01,0.009464232508212008,4.740003101378375e-05,1.5813168232780605e-07,0.018909293880256035,4.7871339086888225e-06,5.952301006098889e-07
4,0.02,0.01865953883573953,0.00018721736883868233,1.2501932070867776e-06,0.03710804596059119,2.057262619487369e-05,4.638375704114701e-06
4,0.04,0.036286232751878096,0.0007305626903916443,9.773218453760784e-06,0.0715162479947198,9.374726306309143e-05,3.524642041803317e-05
4,0.07,0.060962859015720586,0.0021585912002767245,5.065955728317837e-05,0.11863199492948001,0.000337143436658904,0.00017532677518720607
4,0.1,0.0837317185243461,0.004256350731683736,0.00014305273111774717,0.16101397755866872,0.0007799809261362766,0.0004758156078685217
4,0.16,0.12433353983249021,0.010211814969360663,0.0005518134147874168,0.2339907796240126,0.0023848220925462827,0.0017021768905256893
4,0.25,0.17520641042354781,0.022812385547264613,0.0019399639490869478,0.3207263802331294,0.006822525213570353,0.00539193927818429
4,0.36,0.2250093783764659,0.0429265565201161,0.005301911761268626,0.4005714642710564,0.015692510306468236,0.013130060264994206
