run,lambda,lag,normalized_self_energy
2,0.25,5,4.836359350024851e-11
2,0.25,6,7.756908258354771e-12
2,0.25,7,1.2495109065153853e-12
2,0.25,8,2.1957840583608362e-13
2,0.25,9,4.0759068851411086e-14
2,0.25,10,7.416231763093613e-15
2,0.25,11,1.2027569293740008e-15
2,0.25,12,2.1379521641875432e-16
2,0.25,13,4.202256517570704e-17
2,0.25,14,2.0327875677667792e-17
2,0.25,15,1.7183605294644328e-17
2,0.25,16,1.793199117073357e-17
2,0.25,17,1.752103108660689e-17
2,0.25,18,1.691347479325902e-17
2,0.25,19,1.78679786442522e-17
2,0.25,20,1.7637792541898817e-17
2,0.25,21,1.8359169013107834e-17
2,0.25,22,1.7955493494723752e-17
2,0.25,23,1.7840142394424578e-17
2,0.25,24,1.6331645180087985e-17
2,0.25,25,1.6120199645686232e-17
2,0.25,26,1.7122725821304733e-17
2,0.25,27,1.822421828108956e-17
2,0.25,28,1.5076328379697334e-17
2,0.25,29,1.2791702907302021e-17
2,0.25,30,8.376407305916554e-18
3,0.25,0,0.0029669997842554805
3,0.25,1,0.00046002774031417287
3,0.25,2,3.559905034464263e-07
3,0.25,3,1.2216960659814744e-08
3,0.25,4,8.907392747156618e-10
3,0.25,5,1.0062119870148853e-10
3,0.25,6,1.3296984944186985e-11
3,0.25,7,2.014504316141822e-12
3,0.25,8,3.048813804060439e-13
3,0.25,9,5.164224473266789e-14
3,0.25,10,8.703477134132554e-15
3,0.25,11,1.5798732707150109e-15
3,0.25,12,2.901586441490339e-16
3,0.25,13,5.738987851424762e-17
3,0.25,14,2.1228118653538102e-17
3,0.25,15,1.768529303583891e-17
3,0.25,16,1.806231122341051e-17
3,0.25,17,1.7682573082899138e-17
3,0.25,18,1.7047655280595554e-17
3,0.25,19,1.722256390006865e-17
3,0.25,20,1.7913245132515766e-17
3,0.25,21,1.7273796613326788e-17
3,0.25,22,1.6712280788440483e-17
3,0.25,23,1.6776073509471506e-17
3,0.25,24,1.5750161431518492e-17
3,0.25,25,1.5214603910193224e-17
3,0.25,26,1.5217658559476505e-17
3,0.25,27,1.4213650543030317e-17
3,0.25,28,1.5182975063862686e-17
3,0.25,29,1.2891629005394194e-17
3,0.25,30,8.925995402853918e-18
4,0.25,0,0.0029857798441412695
4,0.25,1,0.0004647105501918852
4,0.25,2,2.3267191434811856e-07
4,0.25,3,7.46432660144156e-09
4,0.25,4,5.303853665500903e-10
4,0.25,5,7.255477103952413e-11
4,0.25,6,9.617710983669938e-12
4,0.25,7,1.528821247324885e-12
4,0.25,8,2.4853939048308367e-13
4,0.25,9,4.1860848441187623e-14
4,0.25,10,6.912088744068886e-15
4,0.25,11,1.1544228113483591e-15
4,0.25,12,2.1543994232157617e-16
4,0.25,13,4.018149682056433e-17
4,0.25,14,1.8978813231831137e-17
4,0.25,15,1.806586062912475e-17
4,0.25,16,1.7929245201290512e-17
4,0.25,17,1.7328654033740703e-17
4,0.25,18,1.760238606757635e-17
4,0.25,19,1.750355818323257e-17
4,0.25,20,1.733168140230506e-17
4,0.25,21,1.652050457200212e-17
4,0.25,22,1.6558096103817984e-17
4,0.25,23,1.6026034134174707e-17
4,0.25,24,1.6017842678426497e-17
4,0.25,25,1.6966052109622758e-17
4,0.25,26,1.7205820045928675e-17
4,0.25,27,1.542243823082661e-17
4,0.25,28,1.4552029112654237e-17
4,0.25,29,1.2850203335140546e-17
4,0.25,30,1.0445025911141947e-17
5,0.25,0,0.00298819297165265
5,0.25,1,0.0004654562684432722
5,0.25,2,2.2739883804694596e-07
5,0.25,3,6.8224587277423445e-09
5,0.25,4,4.95336852753075e-10
5,0.25,5,6.84073094457001e-11
5,0.25,6,9.22391918785696e-12
5,0.25,7,1.5298372968162088e-12
5,0.25,8,2.50156894477405e-13
5,0.25,9,4.534286091278869e-14
5,0.25,10,7.500060199398386e-15
5,0.25,11,1.280145234647167e-15
5,0.25,12,2.1539470596602016e-16
5,0.25,13,3.9200265707677186e-17
5,0.25,14,1.8996686259771746e-17
5,0.25,15,1.6942199622915732e-17
5,0.25,16,1.718971721713673e-17
5,0.25,17,1.674348654609038e-17
5,0.25,18,1.6931592661101964e-17
5,0.25,19,1.7071987595613558e-17
5,0.25,20,1.6705631555261334e-17
5,0.25,21,1.6576778191771505e-17
5,0.25,22,1.7495420272192027e-17
5,0.25,23,1.69962233930526e-17
5,0.25,24,1.6330712265213412e-17
5,0.25,25,1.699085263539684e-17
5,0.25,26,1.6510591182905738e-17
5,0.25,27,1.629319629111098e-17
5,0.25,28,1.5337093851104998e-17
5,0.25,29,1.1842766273169658e-17
5,0.25,30,7.70843920395451e-18
6,0.25,0,0.002989005872884819
6,0.25,1,0.00046584026729952683
6,0.25,2,2.290093733620981e-07
6,0.25,3,6.931010067786831e-09
6,0.25,4,4.926852118231729e-10
6,0.25,5,5.833799174499012e-11
6,0.25,6,8.795907521226557e-12
6,0.25,7,1.5390367181860874e-12
6,0.25,8,2.440426818816426e-13
6,0.25,9,4.076348882837129e-14
6,0.25,10,6.735997288547179e-15
6,0.25,11,1.1249664353237494e-15
6,0.25,12,2.009584233951366e-16
6,0.25,13,4.2527672329653257e-17
6,0.25,14,1.8485392287715752e-17
6,0.25,15,1.7237814928939505e-17
6,0.25,16,1.7053982888078214e-17
6,0.25,17,1.7849942318544986e-17
6,0.25,18,1.7088391689641357e-17
6,0.25,19,1.7794990183786068e-17
6,0.25,20,1.7584410986132728e-17
6,0.25,21,1.77569248922015e-17
6,0.25,22,1.717227369687567e-17
6,0.25,23,1.7413222241182547e-17
6,0.25,24,1.7441725348888576e-17
6,0.25,25,1.6894432757400668e-17
6,0.25,26,1.6024089060476276e-17
6,0.25,27,1.545574053593054e-17
6,0.25,28,1.538234264748629e-17
6,0.25,29,1.3433114233668737e-17
6,0.25,30,8.081751856854323e-18
7,0.25,0,0.002984620393653585
7,0.25,1,0.0004648063089783992
7,0.25,2,2.4039784649089125e-07
7,0.25,3,8.313906723568997e-09
7,0.25,4,6.078631863959314e-10
7,0.25,5,7.177224865876606e-11
7,0.25,6,1.0295938947571176e-11
7,0.25,7,1.7553761357202905e-12
7,0.25,8,2.962339658974659e-13
7,0.25,9,5.3517834051665934e-14
7,0.25,10,8.997909589306729e-15
7,0.25,11,1.5657201775327601e-15
7,0.25,12,2.722658186615216e-16
7,0.25,13,4.9035026660856755e-17
7,0.25,14,1.932679822151117e-17
7,0.25,15,1.7489798234280483e-17
7,0.25,16,1.7219726063120425e-17
7,0.25,17,1.686703911973116e-17
7,0.25,18,1.7732770451774944e-17
7,0.25,19,1.7827928679666692e-17
7,0.25,20,1.729473821067795e-17
7,0.25,21,1.7441437242908237e-17
7,0.25,22,1.768356344780638e-17
7,0.25,23,1.817580703059168e-17
7,0.25,24,1.699908700538021e-17
7,0.25,25,1.6602110215035878e-17
7,0.25,26,1.703923004765571e-17
7,0.25,27,1.5941874981119595e-17
7,0.25,28,1.4805874527427587e-17
7,0.25,29,1.3423883457225957e-17
7,0.25,30,9.77000661301131e-18
8,0.25,0,0.002981741076355007
8,0.25,1,0.0004639756925434
8,0.25,2,2.926878181919009e-07
8,0.25,3,9.531924351513504e-09
8,0.25,4,8.135582108779168e-10
8,0.25,5,9.019244159003898e-11
8,0.25,6,1.3380003948920982e-11
8,0.25,7,2.0078922790750588e-12
8,0.25,8,3.25728311633759e-13
8,0.25,9,5.425586450162221e-14
8,0.25,10,9.432576851239867e-15
8,0.25,11,1.711979976343738e-15
8,0.25,12,3.0691270386480455e-16
8,0.25,13,5.38916534841014e-17
8,0.25,14,2.0936640246442728e-17
8,0.25,15,1.7138456825691245e-17
8,0.25,16,1.808971440380647e-17
8,0.25,17,1.751066822340245e-17
8,0.25,18,1.722272329456872e-17
8,0.25,19,1.6827997958038123e-17
8,0.25,20,1.711159969881486e-17
8,0.25,21,1.7080588882063466e-17
8,0.25,22,1.6712473427919207e-17
8,0.25,23,1.6253887821642893e-17
8,0.25,24,1.63930165122224e-17
8,0.25,25,1.5817869004199696e-17
8,0.25,26,1.5908495502940072e-17
8,0.25,27,1.6414207500040246e-17
8,0.25,28,1.5219980335965368e-17
8,0.25,29,1.3346611340142834e-17
8,0.25,30,8.072054135955286e-18
9,0.25,0,0.0029921077107850557
9,0.25,1,0.0004661542981089871
9,0.25,2,2.3041808806526979e-07
9,0.25,3,7.909261899521324e-09
9,0.25,4,5.351733724599624e-10
9,0.25,5,6.33740090721868e-11
9,0.25,6,7.444903339524028e-12
9,0.25,7,1.1787254159253165e-12
9,0.25,8,2.041881453036761e-13
9,0.25,9,3.9030967137818356e-14
9,0.25,10,6.879056620957226e-15
9,0.25,11,1.2943965384710788e-15
9,0.25,12,2.279043739066646e-16
9,0.25,13,4.4835925949603085e-17
9,0.25,14,1.8718281536233564e-17
9,0.25,15,1.7881827569430786e-17
9,0.25,16,1.8211042164392247e-17
9,0.25,17,1.7268305919640896e-17
9,0.25,18,1.7467779726763335e-17
9,0.25,19,1.7250525499664384e-17
9,0.25,20,1.6459059202016945e-17
